"Id","Title","URL","Author","Co-Author","IsSpliced?","Plays","Splices","Released Splices","Likes","Date","Comments"
132,"Rae Sremmurd - No Flex Zone (Baewatch Trap Bootleg)","https://splice.com/Baewatch/rae-sremmurd---no-flex-zone-baewatch-trap-bootleg","Baewatch","-","False","8,418","681","1","114","13/07/2018","5"
133,"Splice Pon Babylon","https://splice.com/bakir/030cb845-04f5-ac80-6281-0a056e4b02b7b5ffa3d","bakir","sneamonitakis-marsattacks-sedadbk","False","78","4","0","2","13/07/2018","2"
134,"Splice Pon Babylon","https://splice.com/bakir/88ffd0a1-03e9-a780-d2d4-431389d54e091830213","bakir","sneamonitakis-marsattacks-sedadbk","False","138","1","0","1","13/07/2018","4"
135,"Splice Pon Babylon","https://splice.com/bakir/splice-pon-babylon","bakir","sneamonitakis-marsattacks-sedadbk","False","171","4","0","5","13/07/2018","1"
136,"U-NO-LX","https://splice.com/batrak/u-no-lx","batrak","-","False","1,683","143","0","23","13/07/2018","0"
137,"Bro Safari x Beat Down Work In Progress (Official Version)","https://splice.com/BeatDown/bro-safari-x-beat-down-work-in-progress-version-2","BeatDown","-","https://splice.com/brosafari/mysteryland-contest","51","0","0","6","13/07/2018","3"
138,"Bro Safari x Beat Down- Work In Progress","https://splice.com/BeatDown/bro-safaris-work-in-progress","BeatDown","brosafari","https://splice.com/brosafari/mysteryland-contest","131","0","0","9","13/07/2018","4"
139,"Accelerator","https://splice.com/Beluga/accelerator","Beluga","-","https://splice.com/kshmr/sounds-of-kshmr-contest","76","0","0","5","13/07/2018","1"
140,"Cetaceans","https://splice.com/Beluga/cetaceans","Beluga","-","False","327","23","0","4","13/07/2018","0"
141,"Chain","https://splice.com/Beluga/chain","Beluga","-","False","226","8","0","0","13/07/2018","0"
142,"David Guetta + Showtek - Sun Goes Down (BELUGA Remix)","https://splice.com/Beluga/david-guetta--showtek---sun-goes-down-beluga-remix","Beluga","-","https://splice.com/DavidGuetta/sun-goes-down-contest","50","0","0","2","13/07/2018","0"
143,"Deep Dream","https://splice.com/Beluga/deep-dream","Beluga","-","False","507","1","0","3","13/07/2018","0"
144,"Get On Up (BELUGA Remix)","https://splice.com/Beluga/get-on-up-beluga-remix","Beluga","-","https://splice.com/pegboardnerds/get-on-up-contest","81","0","0","0","13/07/2018","0"
145,"GHS Song","https://splice.com/Beluga/ghs-song","Beluga","-","False","147","0","0","0","13/07/2018","0"
146,"Julian Calor - Evolve (BELUGA Remix)","https://splice.com/Beluga/julian-calor---evolve","Beluga","-","https://splice.com/JulianCalor/evolvecontest","30","0","0","5","13/07/2018","0"
147,"Leucas","https://splice.com/Beluga/leucas","Beluga","-","False","378","13","0","3","13/07/2018","0"
148,"melonhead","https://splice.com/Beluga/melonhead","Beluga","-","False","243","13","0","3","13/07/2018","0"
149,"Monodontidae","https://splice.com/Beluga/monodontidae","Beluga","-","False","887","33","0","7","13/07/2018","1"
150,"Splice July 17th Midi Challenge (Project FIle)","https://splice.com/Beluga/splice-july-17th-midi-challenge-project-file","Beluga","-","False","128","6","0","0","13/07/2018","0"
151,"Spliced Sound Design Challenge - July 17 2015","https://splice.com/Beluga/spliced-sound-design-challenge---july-17-2015","Beluga","-","https://splice.com/splicedweeklychallenge/spliced-sound-design-challenge---july-17-2015","223","0","0","0","13/07/2018","0"
152,"Voyage A Paris (BELUGA Remix)","https://splice.com/Beluga/voyage-a-paris-beluga-remix","Beluga","-","https://splice.com/matthew-s-ft-von-felthen----vojage-a-paris","171","11","0","2","13/07/2018","0"
153,"Dancehall, afrotrap, rap/cloudrap type beat","https://splice.com/BenOwlens/dancehall-afrotrap-rapcloudrap-typeb-beat","BenOwlens","-","False","1,343","68","0","5","13/07/2018","0"
154,"Hiphop, rap/cloudrap type beat","https://splice.com/BenOwlens/hiphop-rapcloudrap-type-beat","BenOwlens","-","False","1,102","47","0","1","13/07/2018","0"
155,"Blondi - Aphelion","https://splice.com/Blondifox/aphelion","Blondifox","-","False","159","3","0","1","13/07/2018","0"
156,"Blondi - Bark Bark","https://splice.com/Blondifox/bark","Blondifox","-","False","323","9","0","2","13/07/2018","0"
157,"Blondi - Here Lies Dragons","https://splice.com/Blondifox/dragons","Blondifox","-","False","291","10","0","0","13/07/2018","0"
158,"Happy Me Loop","https://splice.com/Blondifox/happy-me-loop","Blondifox","-","False","150","3","0","1","13/07/2018","0"
159,"Blondi - In The Groove","https://splice.com/Blondifox/in-the-groove","Blondifox","-","False","654","41","0","18","13/07/2018","4"
160,"Dubstep (Eptic, Virtual Riot, Barely Alive, Panda Eyes, Excision)","https://splice.com/BOXXXX/dubstep-eptic-virtual-riot-barely-alive-panda-eyes-excision","BOXXXX","-","False","3,195","217","0","35","13/07/2018","2"
161,"louis the child type beat","https://splice.com/BOXXXX/louis-the-child-type-beat","BOXXXX","-","https://splice.com/jha4/16","1,513","146","0","24","13/07/2018","4"
162,"Unlike Pluto - Everything Black (feat. Mike Taylor) (BOX Remix)","https://splice.com/BOXXXX/unlike-pluto-everything-black-feat-mike-taylor-box-remix","BOXXXX","-","https://splice.com/Unlikepluto/everything-black-remix-contest","3,940","0","0","67","13/07/2018","30"
163,"Morgan Page - Beautiful Disaster - Broseidon Deep House Remix","https://splice.com/Br0seidon/morgan-page---beautiful-disaster---broseidon-deep-house-remix","Br0seidon","-","https://splice.com/morganpage/beautiful-disaster-remix-contest","17","0","0","3","13/07/2018","0"
164,"Tom & Jame ""Never Look Back"" (Broseidon Remix)","https://splice.com/Br0seidon/tom--jame-never-look-back-broseidon-remix","Br0seidon","-","https://splice.com/RevealedRecordings/never-look-back-remix","291","0","0","4","13/07/2018","3"
