Username;AuthorPlays;AuthorLikes;Followers;SignUp Date;Releases;HasBio
test;115;0;0;22/01/2013;1;False
tetapehta;1112;13;0;22/01/2015;1;False
TFigz;13877;100;28;21/01/2017;15;True
thajay;1267;6;1;22/01/2015;4;True
thelooploft;4131;15;104;22/01/2014;1;True
themetabeing;1718;4;11;22/01/2014;12;True
therajav;733;2;8;22/01/2014;2;False
thetreebeard;204;2;1;26/05/2017;2;True
TheY-Lord;2804;19;8;25/07/2017;7;True
thinkingthing;4011;62;6;22/01/2015;4;False
tholex;589;10;6;22/01/2014;4;True
thoumaestro;539;16;0;22/01/2015;1;False
tiesto;281403;2231;2159;22/01/2015;3;True
toddoli;21981;253;51;22/01/2015;15;True
tomcosm;6675;95;165;22/01/2015;6;True
TomFischer;1969;21;4;22/01/2015;1;False
tonysnark;52;1;9;22/01/2014;1;True
trapcity;2859;40;3;22/01/2016;1;False
treblekyle;1112;13;0;22/01/2015;1;False
Trovarsi;1112;13;3;22/01/2015;1;False
TSProductions;858;6;1;23/10/2017;1;False
twoplus;1112;13;1;22/01/2015;1;True
tyDi;31061;229;102;22/01/2015;2;True
unmute;187;1;2;22/01/2014;2;False
vcrow;1650;18;3;22/01/2015;2;False
Veorra;5892;146;40;22/01/2015;1;True
viceversa;3914;62;5;22/01/2014;2;False
ViKO;605;7;4;22/01/2015;5;False
VinceCread;2314;18;33;22/01/2015;1;True
VincentTrinhMusic;8723;101;47;21/01/2017;2;True
WAProduction;60068;581;313;22/01/2016;15;True
warrior13004411;20114;252;37;22/01/2015;15;False
wasp190;187;1;0;22/01/2014;2;False
wearegraves;52251;730;71;27/03/2017;1;False
wertuals;1267;6;1;22/01/2015;4;False
whitneyfierce;673;7;4;22/01/2015;1;False
whoustian;1112;13;1;22/01/2015;1;False
whqles;128;3;2;22/01/2014;3;False
willmcneilly;539;16;0;22/01/2015;1;False
wiplo;13371;87;63;22/01/2015;15;True
wreckedem;1112;13;0;22/01/2015;1;False
Xeke;76;8;3;21/01/2017;1;False
Xminus1;1112;13;0;22/01/2015;1;False
yankeemartz;8368;103;12;26/05/2017;9;True
youngtrane;8436;60;49;22/01/2014;9;True
yungmang;1650;18;1;22/01/2015;2;False
yusukemori;187;1;7;22/01/2014;2;False
zaednaes;1267;6;0;22/01/2015;4;False
zaktt;23153;199;110;22/01/2014;15;True
ZaMaRiOn;357;1;0;22/11/2017;1;False
zedd;4438;18;3;22/01/2015;1;False
zeelee23;514;5;3;22/01/2015;1;False
Zeitu;1112;13;0;22/01/2015;1;False
Zelll;90;12;1;27/03/2017;2;True
zenojim;1762;17;15;22/01/2015;5;True
zgruber;1112;13;0;22/01/2015;1;False
zinn1031;1112;13;0;22/01/2015;1;False
zohairmasood;1112;13;0;22/01/2015;1;False
zxilver;1267;6;0;22/01/2015;4;False
